order_id,customer_id,customer_type_DEBUG_ONLY,account_age_days,total_past_orders,historical_return_rate,historical_return_value_rate,days_since_last_return,order_value,item_category,quantity,is_multi_variant_order,discount_pct_applied,shipping_billing_mismatch,is_new_shipping_address,address_reuse_across_accounts,payment_method_type,is_new_payment_method,payment_method_reuse_across_accounts,orders_in_last_24h,orders_in_last_24h_same_address,is_abusive_return
ORD-FD665BE8,0c5b4a33,normal,1393,6,0.07286389501968311,0.016884050924085424,347,301.45,apparel,1,0,10,0,0,0,prepaid,0,0,0,0,0
ORD-A4CC345A,e7a910cf,normal,662,5,0.008953183461687136,0.07929963359352316,283,2898.96,electronics,2,0,10,0,0,0,COD,1,0,0,0,0
ORD-E1E6D621,15f1a96d,normal,675,4,0.11515925204348784,0.09214876502109244,141,3804.94,apparel,4,0,20,0,1,0,prepaid,1,0,0,0,0
ORD-4A0BAA92,62661c9d,normal,717,5,0.17861366919522595,0.23543133894371424,50,706.42,beauty,5,0,20,0,0,0,prepaid,0,0,0,0,0
ORD-E719CCD5,808096aa,normal,846,5,0.07921243894284136,0.14468141942884702,199,5214.54,grocery,5,1,10,1,0,0,prepaid,0,0,0,0,0
ORD-024425D2,c3ac5f34,normal,723,8,0.07314363318444855,0.13799908675987022,69,337.72,electronics,1,0,10,1,0,0,prepaid,0,0,0,0,0
ORD-28A80A64,33228f79,normal,25,3,0.008490630385591762,0.035628874669825436,112,2548.04,apparel,5,0,0,0,0,0,COD,1,0,0,0,0
ORD-1D554DBB,25ad55d4,bracketer,1556,3,0.10079880661452247,0.07852799015469995,322,1592.29,apparel,9,1,10,0,0,0,COD,0,0,0,0,0
ORD-89166E81,6e082d99,normal,998,6,0.01405998348544413,0.0,42,2701.27,home,5,0,30,0,0,0,prepaid,0,0,0,0,0
ORD-B2F35428,ae7466cc,normal,1205,2,0.0062407921554444796,0.027917585985205957,19,966.67,apparel,1,0,20,0,0,0,prepaid,1,0,1,0,0
ORD-AA033214,20e45471,normal,337,4,0.0001853857870991581,0.0,353,2954.02,beauty,3,0,10,0,0,0,prepaid,0,0,0,0,0
ORD-F68F76A0,10a5c549,normal,1502,6,0.07884681310009534,0.0765858563792886,170,3216.77,beauty,2,0,20,0,0,0,COD,0,0,0,0,0
ORD-C0B81538,f0f7c809,normal,420,2,0.0652175460471809,0.04536966373556382,38,170.18,electronics,1,0,0,0,0,0,prepaid,0,0,0,0,0
ORD-36D9761B,bc6315cb,normal,1649,3,0.21217391103512837,0.21478629818646283,240,723.06,home,5,0,10,0,0,0,COD,0,0,2,1,0
ORD-51E2646E,da4d88a3,normal,1433,5,0.08427904446024505,0.14528188010976645,212,1176.58,apparel,4,0,0,0,0,0,COD,1,0,0,0,0
ORD-982EF116,87f053d4,normal,1043,7,0.2566555691374453,0.21437958291936476,154,859.03,grocery,5,0,10,0,0,0,prepaid,0,0,1,0,0
ORD-49ECD58B,f5e876cf,normal,1706,4,0.009564507316143033,0.005560533803456884,189,1870.23,electronics,2,0,30,0,0,0,prepaid,0,1,0,0,0
ORD-6C522C28,2901ca04,normal,1014,7,0.3714643435752427,0.35568608103502014,262,166.51,grocery,5,0,0,0,0,0,COD,0,0,0,0,0
ORD-BC776D10,a2eaaa0b,normal,1692,7,0.055408063882130404,0.035914649989300565,223,822.82,electronics,5,0,0,0,0,0,prepaid,0,0,1,0,0
ORD-0B6AFC6D,376f1acf,normal,739,5,0.0420418725086384,0.027375801070452087,96,1380.74,home,4,0,0,0,0,1,prepaid,0,0,0,0,0
ORD-E3AC1E3F,c89d3f02,normal,1657,7,0.05841570686552455,0.0940317677952607,323,1353.2,home,1,0,0,0,0,0,COD,0,0,0,0,0
ORD-8FE69CE0,a0942274,normal,93,3,0.007936689185571874,0.0028941812295795906,56,372.42,home,3,0,10,0,0,0,prepaid,0,0,0,0,0
ORD-1A1ADA90,f9c63491,normal,1010,4,0.033455397182375286,0.12198886623548269,24,8475.12,home,4,0,10,0,0,0,prepaid,0,0,0,0,0
ORD-26CFC764,5268a9ac,normal,249,3,0.05460130164316748,0.038180085793212554,237,445.1,apparel,2,0,0,0,0,1,prepaid,0,0,0,0,0
ORD-CE7AB080,e2e2b25d,normal,426,7,0.03743321123185884,0.011774997480976834,317,1343.49,electronics,4,1,0,0,0,0,COD,1,0,0,0,0
ORD-609F6B8D,1e19451c,normal,1010,5,0.16465163101543076,0.2510794969133401,115,672.76,electronics,1,0,0,0,1,0,prepaid,0,0,0,0,0
ORD-AD40322E,96a3b9a2,normal,558,6,0.005721947505707664,0.0,277,2746.91,home,2,0,10,0,0,0,COD,0,0,0,0,0
ORD-2339CA6D,f63f8547,serial_returner,189,20,0.8406312803047811,0.9244095990034102,4,4637.51,apparel,3,0,0,0,1,0,COD,0,1,1,1,0
ORD-0F1A2079,07ff81c1,bracketer,160,6,0.3033964739820563,0.3410829206556952,85,1571.94,apparel,7,1,10,0,0,0,prepaid,0,0,0,0,0
ORD-12A231C2,f6f31d2e,serial_returner,754,16,0.7022582546955942,0.764944310671147,6,1886.19,electronics,5,0,0,0,0,0,prepaid,0,0,0,0,1
ORD-5181C84C,30564c32,normal,678,4,0.1340073645045834,0.11758139005458709,266,668.9,home,5,1,0,0,0,0,prepaid,0,0,0,0,0
ORD-81A3F799,4a46a3dc,normal,1752,5,0.057166284841284144,0.051032141825255874,64,561.47,apparel,2,0,0,0,0,0,prepaid,0,0,0,0,0
ORD-B50F8ECB,473374d2,wardrober,624,7,0.04999107872775717,0.3222292381127418,335,19603.57,apparel,3,0,0,1,0,0,COD,1,0,0,0,1
ORD-08853E25,6be63dca,normal,1260,6,0.042785116855134385,0.04212413031234302,107,490.27,beauty,1,0,10,0,0,0,prepaid,0,0,0,0,0
ORD-3ED117F8,3914e6b2,normal,36,6,0.14193051798927464,0.15840301616503338,285,459.6,apparel,2,0,10,0,0,0,COD,1,0,0,0,0
ORD-F87FAFC1,87767a81,normal,752,2,0.1593098094129695,0.1950545285607808,21,1619.45,electronics,5,0,20,0,0,0,prepaid,0,0,0,0,0
ORD-43F8BBB7,d0a475de,normal,1312,2,0.16029066493662625,0.10622603556632863,32,310.56,apparel,5,0,10,0,0,0,prepaid,0,0,0,0,0
ORD-C0D9C886,fe4dde4d,normal,869,4,0.07673787734092885,0.14778494278704374,274,536.63,electronics,5,0,0,0,0,0,prepaid,1,0,0,0,0
ORD-B5DCFD38,37e818a6,normal,821,4,0.09760678163231638,0.078201286171971,311,3096.85,home,4,0,10,0,0,0,prepaid,0,0,0,0,0
ORD-F520D7F0,d4e47cea,bracketer,1386,3,0.04529008538362705,0.09613383539305465,41,396.99,apparel,9,1,10,0,0,0,prepaid,0,0,0,0,0
ORD-F6CAB05D,ac3087f0,normal,600,4,0.06817075930254098,0.02632104925111607,4,360.14,electronics,4,0,0,0,0,0,COD,0,0,0,0,0
ORD-6E70FBC8,5e95796b,normal,924,5,0.030012809175304075,0.07116062166335947,16,6488.09,apparel,2,0,10,0,0,0,COD,0,0,1,0,0
ORD-08A38D57,e57a371e,normal,1527,5,0.009212352732946391,0.0,219,7452.66,electronics,4,0,0,0,0,0,prepaid,0,0,0,0,0
ORD-D438A867,00bfc7ba,normal,717,8,0.017460140117576087,0.029811665652971463,258,955.68,apparel,3,0,0,0,0,0,prepaid,1,0,1,1,0
ORD-7328797D,80311226,normal,134,4,0.11406668451447521,0.17895375332452473,46,2505.71,apparel,2,1,0,0,0,0,prepaid,0,0,0,0,0
ORD-D9599446,09cb05e9,normal,1610,4,0.047709495055628375,0.05807508395307798,349,2050.38,apparel,3,0,10,0,0,0,COD,0,0,0,0,0
ORD-55CA7273,b9ba26a0,normal,789,11,0.051991435815337356,0.03523145766331677,271,2108.66,electronics,3,0,10,0,0,0,prepaid,0,0,1,1,0
ORD-8141FCCD,a5e67bd4,normal,843,5,0.18685201950549857,0.19013635280952196,12,712.09,grocery,1,0,10,0,0,0,COD,0,0,0,0,0
ORD-22BCBCAC,50663d3f,normal,212,4,0.11224704732903767,0.04846201021858816,316,1413.86,apparel,1,0,10,0,0,0,prepaid,0,0,0,0,0
ORD-2544FE1B,d626e584,normal,290,4,0.18424443127124476,0.09906415927865148,211,1389.31,home,1,1,0,0,0,0,COD,0,0,0,0,0
ORD-864DD533,d0b6afc9,normal,734,5,0.28263088518452173,0.2290881228684327,309,1773.62,beauty,5,0,0,0,0,0,COD,0,0,0,0,0
ORD-423156B8,a82ec529,normal,1075,4,0.12399893070298766,0.15850731191214837,191,1251.89,apparel,4,0,0,0,0,0,prepaid,0,0,0,0,0
ORD-525B14A4,d4cd996d,wardrober,277,6,0.1868811936851004,0.2908888725938434,167,4868.21,apparel,1,0,0,1,0,0,prepaid,0,0,0,0,0
ORD-A595C146,65585f51,normal,801,5,0.053742146956488046,0.07544718247523763,88,659.19,grocery,2,0,10,0,0,0,prepaid,0,0,1,0,0
ORD-02AAED44,89a55b05,normal,1767,11,0.04007164626284707,0.0,10,578.07,apparel,5,0,10,0,0,0,prepaid,0,0,0,0,0
ORD-DD8F9F24,b07a4c21,normal,258,3,0.06491689216600956,0.013635434151575199,137,2718.97,apparel,1,0,10,0,0,0,COD,0,0,1,1,0
ORD-6146D953,597ac0bf,normal,250,4,0.06784300979211905,0.024762866300939546,45,1008.92,electronics,4,0,0,0,1,0,COD,0,0,2,1,0
ORD-94860173,8471f953,serial_returner,231,16,0.7204620276700975,0.7691444797521219,3,604.69,apparel,5,0,0,0,0,0,prepaid,0,0,0,0,0
ORD-95BD923D,1af35e10,bracketer,573,7,0.15679149664736552,0.1521316060013206,310,11719.48,apparel,4,0,10,0,0,0,prepaid,0,0,0,0,0
ORD-4055AC0D,8df2b9f9,normal,1406,4,0.06407609645229337,0.0421544696041135,116,9837.34,beauty,2,1,20,0,0,0,prepaid,0,0,0,0,0
ORD-F3CB841C,0e6ac175,normal,1789,3,0.203285721306855,0.21623413066864586,11,329.23,electronics,3,0,30,1,0,0,prepaid,0,0,0,0,0
ORD-DFA7C397,bb4cea5d,normal,1562,1,0.06964822816085664,0.14135903390063986,158,859.49,apparel,2,0,20,0,0,0,prepaid,0,0,0,0,0
ORD-4BAD95AA,a36b9dc2,normal,101,6,0.056072071434359,0.0,338,4723.4,apparel,4,0,0,0,1,0,COD,1,0,0,0,0
ORD-1B4F58C7,2039de80,normal,1724,1,0.018851106706112498,0.08961879179608404,261,470.16,apparel,4,0,10,0,1,1,prepaid,0,0,0,0,0
ORD-8F8583BA,b031a943,normal,384,2,0.008415030997216468,0.0,198,488.07,apparel,4,0,10,0,0,0,COD,0,0,0,0,0
ORD-46836F32,c8ba31e5,normal,1377,6,0.15544557812571194,0.1679637744287556,239,1291.97,grocery,5,1,0,0,0,0,COD,0,0,1,0,0
ORD-3095F28C,edf2f1ea,wardrober,28,8,0.09164556722220425,0.25837530057638053,56,15231.06,apparel,4,0,20,0,1,0,COD,0,0,1,0,0
ORD-FDC7F59E,0167d614,normal,1202,3,0.05078484009226155,0.1404222099843488,172,403.91,beauty,2,0,0,0,0,0,prepaid,0,0,1,1,0
ORD-0B0A98A5,7a091ac4,normal,1044,6,0.18385823079237462,0.1285537271361679,127,2589.3,electronics,5,0,10,0,0,0,prepaid,0,0,0,0,0
ORD-151C90C4,3291e8f4,normal,1560,7,0.0679507974370017,0.10867205200015943,150,5223.41,home,2,0,10,0,0,0,prepaid,0,0,0,0,0
ORD-5E93D3DF,322efa5b,normal,467,3,0.11422798732657151,0.2213008591305058,260,478.41,grocery,1,1,0,0,0,0,COD,0,0,0,0,0
ORD-E5B45EFA,5f414a2e,normal,1546,4,0.13009549026328107,0.22082432898205875,157,660.26,electronics,1,0,0,0,0,0,COD,0,0,1,0,0
ORD-C17BDB12,65141e57,normal,843,3,0.015339202581323683,0.0,364,2139.05,apparel,1,0,20,0,0,0,prepaid,0,0,0,0,0
ORD-14864183,b7704d50,serial_returner,1742,15,0.7953035281784518,0.801263132979402,11,608.44,electronics,2,0,0,0,0,0,prepaid,0,0,0,0,1
ORD-DBB0345C,d219c637,normal,216,6,0.18870868689012146,0.23498200766233004,162,122.4,electronics,3,1,10,1,0,1,COD,0,0,0,0,0
ORD-28D7B0EC,143f2738,bracketer,1372,5,0.02284246168522293,0.001071776601179967,189,926.59,apparel,3,0,10,0,0,0,prepaid,1,0,1,0,0
ORD-83883CEA,567c0ad7,bracketer,1055,4,0.0008607428890705052,0.04978055778302932,107,814.8,apparel,6,1,10,0,1,0,prepaid,0,0,0,0,0
ORD-2009E781,57388649,normal,90,10,0.05817804299488483,0.0888767486658665,81,400.69,apparel,3,0,0,0,0,0,prepaid,0,0,1,0,0
ORD-C2A5C837,b0be3c22,normal,1747,5,0.03084856955903993,0.08863619131815227,291,2839.37,home,5,0,0,0,0,0,COD,0,0,0,0,0
ORD-43232B05,13406c28,normal,1168,5,0.0025174835348647155,0.026608247996999262,140,895.53,beauty,4,1,0,0,1,0,COD,0,0,0,0,0
ORD-222C6E4B,0a302e3b,normal,223,4,0.1393493144340421,0.06966993945976822,23,3283.3,electronics,3,0,0,0,0,0,COD,1,0,0,0,0
ORD-C6190F43,5825d359,normal,843,5,0.05635283584081941,0.0,221,138.06,apparel,1,0,0,0,0,0,prepaid,0,0,1,1,0
ORD-2F05C902,e98d55a9,normal,1466,6,0.15009345144415492,0.12307963119838164,93,102.95,apparel,3,0,10,0,0,0,COD,0,0,1,1,0
ORD-5A6F6511,c7d84d52,wardrober,1709,4,0.017755979486537243,0.20384624428265116,223,4552.01,apparel,4,0,0,1,1,0,prepaid,0,0,0,0,0
ORD-DCDF3FF3,a797eb20,normal,905,6,0.04707105932180348,0.0,130,236.22,apparel,5,0,0,0,0,0,prepaid,0,0,1,0,0
ORD-D14F54B7,1894c3c2,serial_returner,436,24,0.574348452326083,0.6237321613486877,13,324.29,electronics,2,0,0,1,0,0,COD,0,0,0,0,1
ORD-499A3811,262ae10d,normal,1318,2,0.16890375914065348,0.22286200584708601,13,374.63,apparel,3,0,0,0,0,0,COD,1,0,0,0,0
ORD-80F0B576,0a21c8a5,normal,339,6,0.024819910963748984,0.01467581911061882,354,6801.2,apparel,1,0,10,0,1,1,prepaid,0,0,0,0,1
ORD-0F7FEF4A,e94a108f,serial_returner,88,19,0.3968759088420209,0.43176007864113153,2,2181.25,apparel,4,1,10,0,0,0,prepaid,0,0,1,0,1
ORD-8029C3B4,f200ff4b,normal,123,4,0.0692773227985279,0.0,235,173.39,apparel,3,0,0,0,0,0,prepaid,0,0,0,0,0
ORD-16CD0ED7,b22d9239,normal,1132,5,0.013861767259717418,0.03680633465981181,230,760.22,home,3,0,10,0,0,0,prepaid,1,0,1,0,0
ORD-BFC76BA6,6f964652,normal,1561,6,0.009547567916503399,0.029059848087814595,237,992.38,electronics,3,0,0,0,0,0,COD,0,0,0,0,0
ORD-C7CFD705,38101e45,normal,25,1,0.01770480632489939,0.06289894859924429,281,295.1,apparel,1,0,0,0,0,0,prepaid,1,0,0,0,0
ORD-878115F1,a5e67bd4,normal,843,5,0.18685201950549857,0.19013635280952196,12,768.33,home,3,0,0,0,0,1,COD,0,0,0,0,0
ORD-84535232,bb8f3f3f,normal,627,7,0.09288517307385276,0.07364243838014217,21,428.08,apparel,3,1,0,0,0,0,prepaid,0,0,1,0,1
ORD-9F4E2452,6223fdc8,normal,506,3,0.09102299463722159,0.08886842431648492,286,4988.69,apparel,5,0,0,1,0,0,prepaid,0,0,0,0,0
ORD-BD4EA704,85462f2c,normal,476,6,0.1097472396045721,0.1727001846639073,38,926.77,beauty,1,0,10,0,0,0,prepaid,0,0,0,0,0
ORD-34E617E3,a241b2f5,normal,1643,4,0.18278009963041342,0.1374579670569968,304,216.3,electronics,3,0,0,0,1,0,prepaid,0,0,0,0,0
ORD-37542613,b0a91be1,normal,664,4,0.02265498401600329,0.0,124,1283.25,home,4,0,10,0,0,0,prepaid,0,0,0,0,0
ORD-CA5BB34A,35623cee,wardrober,128,4,0.1481803862859668,0.4269612642966017,251,12250.5,apparel,2,0,0,1,0,0,prepaid,0,0,0,0,0
ORD-854FC3F9,94ff360a,normal,403,1,0.06339871718520626,0.009113403914359608,110,518.23,home,2,0,0,0,0,0,prepaid,0,0,0,0,0
ORD-A2CA59C3,71d35995,normal,806,3,0.03274104761884799,0.13484520468238387,165,1837.98,apparel,5,0,20,0,0,0,COD,0,0,0,0,0
ORD-F37E8378,65a38193,normal,869,4,0.06426482698564176,0.004988667985853061,102,1147.86,home,1,0,10,0,0,0,prepaid,0,0,0,0,0
ORD-F940581F,c9b60a57,serial_returner,716,23,0.7692934622931199,0.8164256827180704,5,623.01,apparel,4,0,0,0,0,0,prepaid,0,0,1,1,0
ORD-8E53BB9A,a914e307,normal,1434,4,0.286172555565117,0.2481681123004039,60,816.73,electronics,1,0,10,0,1,0,prepaid,0,0,0,0,0
ORD-413538B5,b2b4e237,normal,1503,4,0.02327800001618229,0.08809409186995931,69,983.06,electronics,2,0,20,0,0,0,prepaid,0,0,1,0,0
ORD-4FE17151,c26b4348,normal,369,6,0.224808669247991,0.1908450564139089,335,52.48,apparel,4,0,0,0,0,0,prepaid,0,0,1,1,0
ORD-2D6C6D67,14399864,normal,1321,0,0.0,0.008131114981503719,-1,925.54,electronics,2,0,30,1,0,0,COD,0,0,0,0,0
ORD-170722E3,628c3adc,normal,868,7,0.2760087846957719,0.24391411372955496,339,2783.2,apparel,2,0,10,0,0,0,COD,0,0,0,0,0
ORD-7AF466CC,3275856e,normal,1186,4,0.027080504496417867,0.14651873816501546,307,766.25,home,1,0,10,0,0,0,prepaid,1,0,0,0,0
ORD-58BD444E,1b8e334e,normal,1761,10,0.09517603837820741,0.08508803791669037,336,2959.44,grocery,3,0,0,0,0,0,prepaid,0,0,1,0,0
ORD-5B53BF8D,8fc141c8,normal,1334,7,0.07079971043931303,0.14854187889991194,212,294.36,beauty,5,0,0,1,0,0,prepaid,1,0,0,0,0
ORD-EC50E899,662a215e,normal,1243,4,0.0003207591197573051,0.0,358,217.05,grocery,4,0,0,1,0,0,prepaid,0,0,0,0,0
ORD-9C6A4259,6efeebca,normal,61,5,0.21155619624968922,0.19859394502359817,218,250.81,electronics,5,0,0,0,0,0,COD,0,0,0,0,0
ORD-EDAC646C,a7f42682,normal,1587,10,0.18559139717052278,0.24405122624465703,243,1319.76,beauty,4,0,10,0,0,0,COD,0,0,0,0,0
ORD-9D50A118,5baaf01e,normal,1359,0,0.0,0.03037370256566448,-1,1645.79,apparel,2,0,30,0,0,0,COD,0,0,0,0,0
ORD-8CF64D7F,766ad191,normal,1533,6,0.16794560017429028,0.10195978014597146,147,301.41,apparel,4,1,10,0,0,0,prepaid,0,0,0,0,0
ORD-5A9DEE17,d99f416f,normal,911,8,0.013179257129335247,0.0,27,1276.22,apparel,4,0,10,1,0,0,prepaid,0,0,0,0,0
ORD-C97DF73C,702a5dff,normal,1253,2,0.05354228882587932,0.021742686583944043,196,816.35,electronics,1,0,10,0,0,0,COD,0,0,1,1,0
ORD-A2EE98A5,9725ceb4,normal,325,5,0.2189028089223915,0.19242181470922412,112,773.44,apparel,5,0,20,0,0,0,prepaid,1,0,0,0,0
ORD-FE7C63A5,7403eaca,serial_returner,1211,15,0.6746002767055325,0.6800142466043048,9,637.58,electronics,5,0,0,0,0,0,prepaid,0,0,0,0,1
ORD-0F875C6A,5bd6329f,normal,850,4,0.20957195027343378,0.22578232848610075,85,1280.56,apparel,4,0,0,1,0,0,prepaid,0,0,1,0,0
ORD-EB9E0831,4dba8fa3,normal,568,3,0.030599844817700228,0.04103894838248426,23,118.24,apparel,3,0,0,1,0,0,prepaid,0,0,0,0,0
ORD-0184A142,36347aaf,normal,333,5,0.021462107750376908,0.046166720288368754,57,150.42,grocery,3,0,0,0,0,0,COD,0,0,0,0,0
ORD-B0581E72,d138fa24,normal,1108,5,0.029711593116179782,0.022581609538881803,165,882.63,electronics,5,0,0,0,0,0,COD,0,0,0,0,0
ORD-97223EE1,d4efa121,normal,811,10,0.16241150381940328,0.23877604699821536,124,2202.38,home,4,0,10,0,0,0,COD,0,0,0,0,0
ORD-E28B0576,147391d0,normal,1210,5,0.09580534498289599,0.13051920888833807,179,1399.34,apparel,5,0,0,0,0,0,prepaid,0,0,0,0,0
ORD-21D252C1,fac965b1,serial_returner,675,23,0.7933414524867237,0.8042711994608892,13,2540.31,apparel,1,0,0,0,0,0,prepaid,0,0,0,0,0
ORD-9A39AD88,0f0cfb01,normal,624,5,0.11879549058695824,0.05175770753824391,236,1945.52,home,2,0,10,0,1,1,COD,1,0,0,0,0
ORD-F8A866C5,af742ef0,normal,722,2,0.056778962292193494,0.10657758678035897,198,102.5,electronics,1,1,0,0,0,0,prepaid,0,0,0,0,0
ORD-F4D8A160,046f2dbc,normal,1044,3,0.17981060235261076,0.15992714996931948,202,413.76,beauty,2,0,0,0,0,0,prepaid,0,0,0,0,0
ORD-6D8DAC47,de2cc2ff,normal,739,8,0.08935111954787688,0.126360035172016,268,8027.41,apparel,4,0,10,0,0,0,prepaid,1,0,0,0,0
ORD-5E5956B3,45042158,normal,1488,5,0.004268617135261871,0.07270942140743011,349,678.33,apparel,4,0,10,0,0,0,prepaid,0,0,1,0,0
ORD-665E5332,6f1dd3db,normal,1173,9,0.1721809329510476,0.1946009811060642,292,4388.84,apparel,1,1,0,0,0,0,COD,0,0,1,0,0
ORD-E4F3F633,639cb631,normal,1530,5,0.038357245388286235,0.0265556448255423,35,103.16,home,1,0,0,0,0,0,prepaid,0,0,0,0,0
ORD-03911103,473939ba,normal,1503,7,0.04661544264667687,0.0,217,336.07,apparel,3,0,10,0,0,0,prepaid,0,0,1,0,0
ORD-8280AA10,92882bb7,normal,880,3,0.07204290245299207,0.053673157444518546,18,912.45,electronics,1,0,10,0,0,0,prepaid,0,0,0,0,0
ORD-DC4F2321,9db3822f,normal,1681,7,0.008030251343516351,0.0,185,2111.29,apparel,5,0,0,0,0,0,prepaid,0,0,0,0,0
ORD-19C188DC,f2be4677,normal,1270,4,0.036125677193012545,0.0,222,261.32,beauty,2,0,0,0,0,0,prepaid,0,0,0,0,0
ORD-03930C93,6ce69f75,normal,255,7,0.15665028669257922,0.14792308846513375,10,1046.06,electronics,3,0,20,0,0,0,COD,0,0,0,0,0
ORD-8F8F351D,46ffb1de,normal,1180,9,0.27828815788545797,0.21822248293700625,44,1014.44,home,5,0,10,0,0,0,COD,0,0,0,0,0
ORD-CCF06ECD,e36643a8,normal,815,2,0.010054181527170076,0.0,114,2358.83,home,5,1,20,0,0,0,COD,0,0,0,0,0
ORD-4CF541AA,364faaf3,normal,1496,3,0.009160550870569984,0.057778812012827904,58,954.83,home,1,0,10,0,0,0,prepaid,0,0,0,0,0
ORD-FFEC8321,662a215e,normal,1243,4,0.0003207591197573051,0.0,358,373.23,grocery,3,0,10,0,0,0,prepaid,0,0,0,0,0
ORD-45976B02,54e14dcd,normal,940,2,0.058162513107401254,0.07697809602737375,306,1101.0,home,4,0,10,0,0,0,prepaid,0,0,0,0,0
ORD-4092C0A0,26baf60e,serial_returner,5,18,0.8096628034100374,0.822845215502036,6,4737.78,electronics,4,0,0,0,0,0,prepaid,0,0,0,0,0
ORD-71DFBB67,93b9cc5d,normal,1068,4,0.0212170581089214,0.05943755408876246,223,470.93,beauty,1,0,0,0,0,0,prepaid,0,0,0,0,0
ORD-086D977D,835edea8,normal,1744,5,0.0009556675969678238,0.01683373148980152,47,1038.76,apparel,2,0,10,0,0,0,prepaid,0,0,0,0,0
ORD-267DC6CF,606e8129,normal,1316,4,0.03386600840923008,0.02201647474006653,135,420.92,apparel,1,0,10,0,0,0,prepaid,0,0,0,0,0
ORD-AAC4309B,1f461ff7,normal,1585,3,0.048227737493340354,0.0,154,4285.98,apparel,2,0,0,0,0,0,prepaid,0,0,0,0,0
ORD-46D85155,f2011b5a,normal,1190,5,0.4857195967554989,0.5842833763680558,240,555.21,apparel,5,0,10,0,0,0,COD,0,0,0,0,0
ORD-7D5B9298,c1b956a6,normal,1235,4,0.28727581046276546,0.3278217947870909,86,3033.66,apparel,3,0,10,0,0,0,prepaid,0,1,1,1,0
ORD-792B2C16,f92f142d,bracketer,728,5,0.04419724026548045,0.11161126176877256,14,1803.18,apparel,4,1,10,0,0,0,COD,0,0,0,0,1
ORD-2C2A9D64,813cd001,normal,461,10,0.10085510679667385,0.11278983554300887,172,149.85,apparel,5,0,10,0,0,0,prepaid,0,0,0,0,0
ORD-13A74C76,d4ef0dac,normal,464,7,0.18844187879042593,0.11549669749935011,224,1970.85,grocery,1,0,10,0,1,0,prepaid,0,0,0,0,0
ORD-CCDAAA92,46fb4fa4,normal,1171,7,0.19862675434717342,0.14882528097703818,290,565.39,apparel,3,0,10,1,0,0,COD,1,0,0,0,0
ORD-3839639F,4cdc65fb,normal,788,1,0.16276121560794204,0.12777305892452817,331,1022.19,apparel,4,0,0,0,0,0,prepaid,1,0,0,0,0
ORD-BE478F95,4825fbee,normal,1752,7,0.09309056399208825,0.07675280968397348,293,403.8,electronics,5,0,20,0,0,0,prepaid,0,0,0,0,0
ORD-7207781F,6081e6e2,normal,1009,2,0.02250805824453425,0.10214808420155357,57,18759.81,apparel,1,0,0,0,0,0,prepaid,1,0,0,0,0
ORD-269BAB48,7d141b2c,normal,204,6,0.08223247297779229,0.03315018941204803,176,1599.28,home,2,0,0,0,0,0,COD,0,0,0,0,0
ORD-3507F6DD,038ac14c,normal,1228,6,0.02602829811924453,0.05037682457774286,79,2882.63,beauty,3,1,30,0,0,0,prepaid,1,0,0,0,0
ORD-325CBA63,a9a1a6e4,normal,1797,5,0.059386820597237044,0.12567916682115776,169,752.92,electronics,2,0,10,0,0,0,prepaid,0,0,0,0,0
